#TYPE Selected.System.IO.FileInfo
"FullName","CreationTime","LastWriteTime","Length","Owner"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Galio.wad.client","9/24/2019 7:46:49 PM","2/16/2022 6:28:17 PM","38794980","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gangplank.en_US.wad.client","9/24/2019 7:46:50 PM","12/13/2021 6:16:56 PM","13435924","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gangplank.wad.client","9/24/2019 7:46:53 PM","2/16/2022 6:28:17 PM","33748905","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Garen.en_US.wad.client","9/24/2019 7:46:54 PM","12/13/2021 6:16:56 PM","10055814","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Garen.wad.client","9/24/2019 7:46:55 PM","2/16/2022 6:28:17 PM","50726454","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gnar.en_US.wad.client","9/24/2019 7:46:57 PM","12/13/2021 6:16:56 PM","3791182","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gnar.wad.client","9/24/2019 7:46:57 PM","2/16/2022 6:28:17 PM","66865000","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gragas.en_US.wad.client","9/24/2019 7:47:00 PM","12/13/2021 6:16:56 PM","2223585","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Gragas.wad.client","9/24/2019 7:47:00 PM","2/16/2022 6:28:17 PM","19786698","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Graves.en_US.wad.client","9/24/2019 7:47:01 PM","12/13/2021 6:16:56 PM","7822111","BUILTIN\Administrators"
